latitude,longitude,ALLSKY_SFC_SW_DWN_JAN,ALLSKY_SFC_SW_DWN_FEB,ALLSKY_SFC_SW_DWN_MAR,ALLSKY_SFC_SW_DWN_APR,ALLSKY_SFC_SW_DWN_MAY,ALLSKY_SFC_SW_DWN_JUN,ALLSKY_SFC_SW_DWN_JUL,ALLSKY_SFC_SW_DWN_AUG,ALLSKY_SFC_SW_DWN_SEP,ALLSKY_SFC_SW_DWN_OCT,ALLSKY_SFC_SW_DWN_NOV,ALLSKY_SFC_SW_DWN_DEC,ALLSKY_SFC_SW_DWN_ANN,RH2M_JAN,RH2M_FEB,RH2M_MAR,RH2M_APR,RH2M_MAY,RH2M_JUN,RH2M_JUL,RH2M_AUG,RH2M_SEP,RH2M_OCT,RH2M_NOV,RH2M_DEC,RH2M_ANN,T2M_JAN,T2M_FEB,T2M_MAR,T2M_APR,T2M_MAY,T2M_JUN,T2M_JUL,T2M_AUG,T2M_SEP,T2M_OCT,T2M_NOV,T2M_DEC,T2M_ANN,WS2M_JAN,WS2M_FEB,WS2M_MAR,WS2M_APR,WS2M_MAY,WS2M_JUN,WS2M_JUL,WS2M_AUG,WS2M_SEP,WS2M_OCT,WS2M_NOV,WS2M_DEC,WS2M_ANN
28.0,29.5,4.0478,4.9663,6.2369,7.2055,7.807,8.2486,8.106,7.5737,6.6806,5.4238,4.3193,3.768,6.2033,56.74,48.28,40.15,32.66,28.69,29.31,31.9,34.51,40.32,46.91,53.93,59.52,41.9,11.31,13.22,17.0,21.36,25.84,28.87,29.89,29.89,27.29,23.16,17.61,13.0,21.57,2.7,2.79,3.05,3.18,3.32,3.5,3.41,3.24,3.36,3.09,2.66,2.72,3.09
28.0,30.0,4.0243,4.9339,6.1884,7.165,7.7592,8.1943,8.0311,7.4976,6.6254,5.3748,4.3025,3.7382,6.1574,55.58,47.05,38.62,31.58,27.76,28.45,31.06,33.61,39.14,45.42,52.03,57.9,40.67,11.67,13.68,17.61,22.04,26.61,29.61,30.63,30.56,27.95,23.84,18.23,13.44,22.19,2.42,2.52,2.89,3.15,3.41,3.64,3.43,3.28,3.39,3.12,2.62,2.52,3.03
28.0,30.5,4.0243,4.9339,6.1884,7.165,7.7592,8.1943,8.0311,7.4976,6.6254,5.3748,4.3025,3.7382,6.1574,53.93,45.3,36.82,30.17,26.72,27.39,30.08,32.41,37.48,43.44,49.69,55.85,39.09,12.02,14.2,18.23,22.64,27.23,30.17,31.17,31.07,28.45,24.4,18.76,13.85,22.72,2.22,2.35,2.83,3.17,3.53,3.84,3.58,3.42,3.49,3.14,2.52,2.33,3.04
28.0,31.0,4.0723,5.0234,6.3091,7.2965,7.9003,8.3604,8.1838,7.6375,6.756,5.4962,4.4009,3.8179,6.2758,53.59,44.61,36.13,29.45,26.03,26.7,29.17,31.35,36.63,42.61,48.67,54.9,38.31,11.56,13.86,17.79,22.13,26.65,29.43,30.38,30.25,27.75,23.89,18.32,13.42,22.15,2.27,2.45,2.94,3.21,3.51,3.84,3.63,3.51,3.58,3.06,2.49,2.36,3.07
28.0,31.5,4.0723,5.0234,6.3091,7.2965,7.9003,8.3604,8.1838,7.6375,6.756,5.4962,4.4009,3.8179,6.2758,53.59,44.61,36.13,29.45,26.03,26.7,29.17,31.35,36.63,42.61,48.67,54.9,38.31,11.56,13.86,17.79,22.13,26.65,29.43,30.38,30.25,27.75,23.89,18.32,13.42,22.15,2.27,2.45,2.94,3.21,3.51,3.84,3.63,3.51,3.58,3.06,2.49,2.36,3.07
28.0,32.0,4.008,4.962,6.2666,7.2374,7.8437,8.3587,8.1826,7.644,6.745,5.4811,4.391,3.7598,6.2448,54.71,45.4,36.29,29.27,25.88,26.59,28.64,31.05,36.99,42.71,49.42,55.48,38.52,10.45,12.78,16.7,20.99,25.43,28.08,28.98,28.8,26.41,22.79,17.24,12.39,20.96,2.6,2.8,3.21,3.37,3.6,3.89,3.58,3.52,3.64,3.1,2.74,2.71,3.23
28.0,32.5,4.008,4.962,6.2666,7.2374,7.8437,8.3587,8.1826,7.644,6.745,5.4811,4.391,3.7598,6.2448,54.76,45.93,37.35,30.26,26.84,27.6,28.73,31.74,38.78,44.43,50.69,56.01,39.41,10.26,12.48,16.31,20.48,24.87,27.56,28.78,28.56,26.09,22.5,16.91,12.12,20.61,3.01,3.14,3.49,3.55,3.79,4.12,3.69,3.77,3.94,3.25,2.94,3.07,3.48
28.0,33.0,4.1191,5.0796,6.3264,7.2727,7.8888,8.3899,8.1751,7.6291,6.7327,5.501,4.4566,3.8479,6.2894,51.52,45.16,39.72,33.41,29.53,30.85,31.98,35.38,42.29,47.34,49.87,52.31,40.77,13.92,15.83,19.21,23.01,27.2,29.57,30.94,30.81,28.53,25.3,20.34,15.84,23.41,3.37,3.5,4.23,4.42,4.86,5.74,5.43,5.65,5.81,4.72,3.7,3.46,4.58
28.0,34.0,4.0452,4.9944,6.2527,7.2012,7.8238,8.365,8.1384,7.5852,6.6881,5.4163,4.3745,3.7841,6.227,54.03,50.3,46.96,42.11,39.13,39.51,41.42,43.64,47.49,50.68,51.02,53.29,46.62,16.75,17.94,20.43,23.47,27.04,29.33,30.51,30.74,29.12,26.49,22.53,18.65,24.45,3.78,3.86,4.07,4.0,4.03,4.53,4.51,4.87,4.69,3.93,3.45,3.68,4.12
28.0,34.5,4.0452,4.9944,6.2527,7.2012,7.8238,8.365,8.1384,7.5852,6.6881,5.4163,4.3745,3.7841,6.227,49.39,46.08,43.1,38.04,34.62,33.45,35.3,36.52,39.74,43.52,46.31,48.86,41.23,17.77,19.05,21.74,24.99,28.93,31.65,32.99,33.32,31.46,28.36,23.65,19.62,26.16,3.56,3.57,3.62,3.47,3.44,3.53,3.22,3.27,3.62,3.44,3.52,3.68,3.49
