latitude,longitude,ALLSKY_SFC_SW_DWN_JAN,ALLSKY_SFC_SW_DWN_FEB,ALLSKY_SFC_SW_DWN_MAR,ALLSKY_SFC_SW_DWN_APR,ALLSKY_SFC_SW_DWN_MAY,ALLSKY_SFC_SW_DWN_JUN,ALLSKY_SFC_SW_DWN_JUL,ALLSKY_SFC_SW_DWN_AUG,ALLSKY_SFC_SW_DWN_SEP,ALLSKY_SFC_SW_DWN_OCT,ALLSKY_SFC_SW_DWN_NOV,ALLSKY_SFC_SW_DWN_DEC,ALLSKY_SFC_SW_DWN_ANN,RH2M_JAN,RH2M_FEB,RH2M_MAR,RH2M_APR,RH2M_MAY,RH2M_JUN,RH2M_JUL,RH2M_AUG,RH2M_SEP,RH2M_OCT,RH2M_NOV,RH2M_DEC,RH2M_ANN,T2M_JAN,T2M_FEB,T2M_MAR,T2M_APR,T2M_MAY,T2M_JUN,T2M_JUL,T2M_AUG,T2M_SEP,T2M_OCT,T2M_NOV,T2M_DEC,T2M_ANN,WS2M_JAN,WS2M_FEB,WS2M_MAR,WS2M_APR,WS2M_MAY,WS2M_JUN,WS2M_JUL,WS2M_AUG,WS2M_SEP,WS2M_OCT,WS2M_NOV,WS2M_DEC,WS2M_ANN
23.0,29.0,4.8756,5.7562,6.7802,7.523,7.8576,8.1276,8.0059,7.5754,6.9396,5.9861,5.0885,4.583,6.5942,41.07,31.28,22.75,17.38,16.09,16.49,18.2,19.46,22.56,28.17,37.46,44.34,26.26,12.85,15.59,19.97,24.92,29.18,31.67,32.3,32.69,29.76,25.47,18.99,14.26,24.01,2.8,2.89,3.14,3.24,3.42,3.77,3.55,3.64,4.0,3.75,3.15,2.97,3.36
23.0,29.5,4.8756,5.7562,6.7802,7.523,7.8576,8.1276,8.0059,7.5754,6.9396,5.9861,5.0885,4.583,6.5942,40.35,30.63,22.27,17.02,15.77,16.15,17.79,19.05,22.04,27.43,36.63,43.2,25.69,13.26,16.01,20.41,25.34,29.55,32.05,32.69,33.1,30.21,26.01,19.47,14.72,24.44,2.83,2.94,3.16,3.28,3.44,3.76,3.5,3.65,3.99,3.7,3.13,2.97,3.37
23.0,30.0,4.8535,5.7233,6.7687,7.5394,7.8749,8.0926,7.9562,7.5324,6.9298,5.933,5.064,4.5682,6.5724,39.32,29.74,21.65,16.58,15.36,15.71,17.24,18.51,21.42,26.62,35.61,42.0,24.98,13.85,16.63,21.02,25.92,30.13,32.62,33.31,33.7,30.83,26.71,20.12,15.34,25.05,2.87,2.99,3.22,3.36,3.52,3.83,3.54,3.72,4.06,3.75,3.16,3.0,3.42
23.0,30.5,4.8535,5.7233,6.7687,7.5394,7.8749,8.0926,7.9562,7.5324,6.9298,5.933,5.064,4.5682,6.5724,38.67,29.29,21.33,16.36,15.16,15.56,17.17,18.48,21.25,26.24,35.02,41.24,24.64,14.26,17.05,21.37,26.28,30.49,32.82,33.48,33.86,31.09,27.17,20.57,15.77,25.39,2.81,2.97,3.22,3.35,3.52,3.81,3.49,3.72,4.04,3.68,3.09,2.91,3.38
23.0,31.0,4.9222,5.7912,6.8472,7.6051,7.9229,8.1444,7.9704,7.531,6.9283,5.9616,5.1276,4.6426,6.6187,37.13,28.34,20.57,15.87,14.67,14.98,16.85,18.05,20.28,24.82,33.39,39.36,23.69,15.06,17.79,22.05,26.9,31.11,33.36,33.91,34.31,31.78,28.1,21.51,16.68,26.08,2.83,3.04,3.25,3.36,3.52,3.83,3.54,3.81,4.02,3.53,3.04,2.89,3.39
23.0,31.5,4.9222,5.7912,6.8472,7.6051,7.9229,8.1444,7.9704,7.531,6.9283,5.9616,5.1276,4.6426,6.6187,37.13,28.34,20.57,15.87,14.67,14.98,16.85,18.05,20.28,24.82,33.39,39.36,23.69,15.06,17.79,22.05,26.9,31.11,33.36,33.91,34.31,31.78,28.1,21.51,16.68,26.08,2.83,3.04,3.25,3.36,3.52,3.83,3.54,3.81,4.02,3.53,3.04,2.89,3.39
23.0,32.0,4.8984,5.7631,6.8155,7.5422,7.8713,8.0856,7.9027,7.4633,6.8748,5.9057,5.0878,4.6082,6.5707,38.55,30.0,21.86,17.1,15.67,15.65,17.67,18.79,20.69,25.49,34.51,40.66,24.71,14.98,17.65,21.85,26.63,30.82,33.08,33.59,34.04,31.7,28.1,21.5,16.66,25.92,3.04,3.23,3.36,3.45,3.58,3.88,3.59,3.86,3.97,3.48,3.17,3.08,3.47
23.0,32.5,4.8984,5.7631,6.8155,7.5422,7.8713,8.0856,7.9027,7.4633,6.8748,5.9057,5.0878,4.6082,6.5707,42.68,34.33,25.87,20.74,18.75,18.28,20.12,21.2,23.12,28.7,38.21,44.61,28.04,15.31,17.94,22.08,26.76,30.95,33.25,33.84,34.29,32.02,28.45,21.86,17.01,26.18,3.05,3.19,3.33,3.39,3.49,3.79,3.6,3.83,3.83,3.31,3.1,3.06,3.42
23.0,33.0,4.8696,5.736,6.809,7.536,7.8588,8.0846,7.8749,7.4002,6.8249,5.8992,5.0717,4.5835,6.5482,41.12,32.44,23.86,18.53,16.47,16.2,18.86,19.53,20.81,26.44,36.21,42.39,26.06,16.33,18.97,22.95,27.59,31.77,33.94,34.41,34.91,32.88,29.56,22.98,18.1,27.07,2.99,3.19,3.34,3.39,3.48,3.75,3.61,3.83,3.74,3.19,3.01,2.99,3.38
23.0,33.5,4.8696,5.736,6.809,7.536,7.8588,8.0846,7.8749,7.4002,6.8249,5.8992,5.0717,4.5835,6.5482,42.52,33.23,23.61,18.06,15.23,14.0,16.54,17.31,18.99,27.5,38.25,43.92,25.74,15.67,18.26,22.13,26.65,30.84,33.07,33.49,34.08,32.23,28.81,22.31,17.53,26.29,3.19,3.39,3.43,3.41,3.45,3.68,3.58,3.74,3.56,3.17,3.06,3.18,3.4
23.0,34.0,4.8384,5.6902,6.7735,7.4832,7.783,8.0652,7.8305,7.3538,6.7913,5.8553,5.0371,4.549,6.5066,42.52,33.23,23.61,18.06,15.23,14.0,16.54,17.31,18.99,27.5,38.25,43.92,25.74,15.67,18.26,22.13,26.65,30.84,33.07,33.49,34.08,32.23,28.81,22.31,17.53,26.29,3.19,3.39,3.43,3.41,3.45,3.68,3.58,3.74,3.56,3.17,3.06,3.18,3.4
23.0,34.5,4.8384,5.6902,6.7735,7.4832,7.783,8.0652,7.8305,7.3538,6.7913,5.8553,5.0371,4.549,6.5066,47.38,38.38,27.71,21.16,16.94,14.38,16.71,17.67,20.22,33.23,44.43,48.85,28.89,15.37,17.83,21.61,26.01,30.31,32.72,33.28,33.88,32.0,28.13,21.94,17.26,25.9,2.96,3.09,3.1,3.04,3.05,3.3,3.44,3.42,3.11,2.82,2.66,2.85,3.07
23.0,35.0,4.5521,5.376,6.4466,7.1506,7.4714,7.7906,7.5458,7.0154,6.5105,5.6011,4.7717,4.2691,6.211,50.78,44.56,35.05,27.99,22.0,17.22,18.99,20.65,24.88,42.19,51.38,52.2,33.95,17.07,19.2,22.7,26.76,31.03,33.84,34.8,35.14,32.91,28.7,23.36,19.0,27.08,2.73,2.73,2.7,2.63,2.64,2.74,2.9,2.74,2.6,2.55,2.37,2.6,2.66
23.5,25.0,4.8878,5.7499,6.7433,7.4719,7.8766,8.1562,8.0712,7.7026,7.1083,6.0965,5.1286,4.6106,6.6367,41.01,31.2,22.68,17.51,16.58,17.08,19.32,20.69,23.09,29.08,36.48,43.95,26.56,11.63,14.46,18.95,24.11,28.14,30.42,30.57,30.78,28.33,23.82,17.67,13.01,22.69,2.43,2.66,2.93,3.1,3.21,3.33,3.18,3.09,3.21,2.96,2.42,2.35,2.9
