latitude,longitude,ALLSKY_SFC_SW_DWN_JAN,ALLSKY_SFC_SW_DWN_FEB,ALLSKY_SFC_SW_DWN_MAR,ALLSKY_SFC_SW_DWN_APR,ALLSKY_SFC_SW_DWN_MAY,ALLSKY_SFC_SW_DWN_JUN,ALLSKY_SFC_SW_DWN_JUL,ALLSKY_SFC_SW_DWN_AUG,ALLSKY_SFC_SW_DWN_SEP,ALLSKY_SFC_SW_DWN_OCT,ALLSKY_SFC_SW_DWN_NOV,ALLSKY_SFC_SW_DWN_DEC,ALLSKY_SFC_SW_DWN_ANN,RH2M_JAN,RH2M_FEB,RH2M_MAR,RH2M_APR,RH2M_MAY,RH2M_JUN,RH2M_JUL,RH2M_AUG,RH2M_SEP,RH2M_OCT,RH2M_NOV,RH2M_DEC,RH2M_ANN,T2M_JAN,T2M_FEB,T2M_MAR,T2M_APR,T2M_MAY,T2M_JUN,T2M_JUL,T2M_AUG,T2M_SEP,T2M_OCT,T2M_NOV,T2M_DEC,T2M_ANN,WS2M_JAN,WS2M_FEB,WS2M_MAR,WS2M_APR,WS2M_MAY,WS2M_JUN,WS2M_JUL,WS2M_AUG,WS2M_SEP,WS2M_OCT,WS2M_NOV,WS2M_DEC,WS2M_ANN
22.0,30.5,5.0556,5.8807,6.8959,7.5991,7.909,8.0858,7.9442,7.483,6.954,6.0466,5.2349,4.7628,6.6569,38.6,29.0,20.92,16.2,15.18,15.36,17.14,18.5,20.55,25.7,34.95,41.41,24.46,13.76,16.64,20.92,25.78,29.86,32.06,32.69,33.28,30.59,26.67,19.96,15.23,24.82,3.08,3.23,3.4,3.48,3.62,3.76,3.37,3.65,4.13,3.81,3.27,3.15,3.49
22.0,31.0,5.0599,5.8966,6.9362,7.65,7.8974,8.0455,7.854,7.3987,6.8722,6.0173,5.2435,4.7808,6.6398,39.71,30.96,23.34,18.83,17.6,17.61,19.41,20.6,22.31,27.01,35.97,42.05,26.28,15.0,17.82,21.99,26.76,30.82,32.91,33.5,34.09,31.56,27.92,21.3,16.55,25.89,3.16,3.34,3.48,3.56,3.67,3.83,3.44,3.74,4.14,3.77,3.29,3.2,3.55
22.0,31.5,5.0599,5.8966,6.9362,7.65,7.8974,8.0455,7.854,7.3987,6.8722,6.0173,5.2435,4.7808,6.6398,39.71,30.96,23.34,18.83,17.6,17.61,19.41,20.6,22.31,27.01,35.97,42.05,26.28,15.0,17.82,21.99,26.76,30.82,32.91,33.5,34.09,31.56,27.92,21.3,16.55,25.89,3.16,3.34,3.48,3.56,3.67,3.83,3.44,3.74,4.14,3.77,3.29,3.2,3.55
22.0,32.0,5.0647,5.8822,6.917,7.6126,7.8581,8.0066,7.805,7.3392,6.8244,5.987,5.2219,4.7683,6.6094,40.11,30.83,22.8,18.03,16.69,16.79,19.19,20.21,21.58,26.31,35.98,42.39,25.9,15.04,17.86,21.91,26.65,30.7,32.71,33.18,33.85,31.55,28.07,21.42,16.64,25.83,2.95,3.18,3.28,3.37,3.46,3.58,3.26,3.53,3.74,3.35,2.98,2.95,3.3
22.0,32.5,5.0647,5.8822,6.917,7.6126,7.8581,8.0066,7.805,7.3392,6.8244,5.987,5.2219,4.7683,6.6094,40.38,31.13,22.56,17.67,15.99,15.59,17.93,19.11,20.28,25.95,35.97,42.5,25.41,15.05,17.79,21.75,26.41,30.52,32.62,33.13,33.78,31.67,28.16,21.52,16.71,25.8,2.94,3.13,3.22,3.26,3.33,3.55,3.42,3.59,3.62,3.14,2.9,2.89,3.25
22.0,33.0,5.0326,5.8586,6.9096,7.6003,7.7897,7.991,7.7846,7.3006,6.7858,5.9767,5.2022,4.7299,6.5822,40.22,31.57,22.66,17.5,15.29,14.64,17.11,18.29,19.21,25.82,35.62,41.7,24.96,16.18,18.85,22.74,27.39,31.56,33.72,34.29,34.91,32.93,29.49,22.85,17.98,26.94,2.99,3.17,3.25,3.28,3.35,3.65,3.61,3.8,3.72,3.16,3.0,2.99,3.33
22.0,33.5,5.0326,5.8586,6.9096,7.6003,7.7897,7.991,7.7846,7.3006,6.7858,5.9767,5.2022,4.7299,6.5822,41.21,33.31,23.62,18.32,15.29,13.65,16.19,17.26,18.67,27.86,37.79,43.04,25.5,16.95,19.57,23.3,27.8,31.89,33.97,34.41,35.12,33.41,30.09,23.66,18.87,27.45,3.01,3.24,3.28,3.3,3.31,3.52,3.59,3.64,3.42,3.16,2.98,2.99,3.29
22.0,34.0,4.9793,5.8046,6.8623,7.5466,7.7321,7.981,7.7431,7.2322,6.7591,5.9354,5.1475,4.6798,6.5357,41.21,33.31,23.62,18.32,15.29,13.65,16.19,17.26,18.67,27.86,37.79,43.04,25.5,16.95,19.57,23.3,27.8,31.89,33.97,34.41,35.12,33.41,30.09,23.66,18.87,27.45,3.01,3.24,3.28,3.3,3.31,3.52,3.59,3.64,3.42,3.16,2.98,2.99,3.29
22.0,34.5,4.9793,5.8046,6.8623,7.5466,7.7321,7.981,7.7431,7.2322,6.7591,5.9354,5.1475,4.6798,6.5357,44.49,37.04,26.68,20.53,16.68,13.76,15.74,17.27,19.75,31.51,42.74,46.82,27.72,17.31,19.88,23.51,27.9,31.99,34.14,34.64,35.37,33.7,30.21,24.03,19.29,27.7,2.88,3.1,3.16,3.21,3.18,3.31,3.42,3.33,3.12,3.11,2.86,2.86,3.13
22.0,35.0,4.6666,5.5313,6.6499,7.3548,7.5638,7.8084,7.5226,7.0212,6.5779,5.7641,4.8086,4.2946,6.299,49.97,42.21,31.5,24.32,19.32,15.34,16.95,19.37,22.65,36.76,50.53,52.92,31.78,16.67,19.04,22.43,26.59,30.64,32.96,33.58,34.15,32.4,28.61,22.96,18.62,26.59,3.09,3.29,3.31,3.33,3.24,3.21,3.22,3.03,3.09,3.34,2.97,3.02,3.18
