latitude,longitude,ALLSKY_SFC_SW_DWN_JAN,ALLSKY_SFC_SW_DWN_FEB,ALLSKY_SFC_SW_DWN_MAR,ALLSKY_SFC_SW_DWN_APR,ALLSKY_SFC_SW_DWN_MAY,ALLSKY_SFC_SW_DWN_JUN,ALLSKY_SFC_SW_DWN_JUL,ALLSKY_SFC_SW_DWN_AUG,ALLSKY_SFC_SW_DWN_SEP,ALLSKY_SFC_SW_DWN_OCT,ALLSKY_SFC_SW_DWN_NOV,ALLSKY_SFC_SW_DWN_DEC,ALLSKY_SFC_SW_DWN_ANN,RH2M_JAN,RH2M_FEB,RH2M_MAR,RH2M_APR,RH2M_MAY,RH2M_JUN,RH2M_JUL,RH2M_AUG,RH2M_SEP,RH2M_OCT,RH2M_NOV,RH2M_DEC,RH2M_ANN,T2M_JAN,T2M_FEB,T2M_MAR,T2M_APR,T2M_MAY,T2M_JUN,T2M_JUL,T2M_AUG,T2M_SEP,T2M_OCT,T2M_NOV,T2M_DEC,T2M_ANN,WS2M_JAN,WS2M_FEB,WS2M_MAR,WS2M_APR,WS2M_MAY,WS2M_JUN,WS2M_JUL,WS2M_AUG,WS2M_SEP,WS2M_OCT,WS2M_NOV,WS2M_DEC,WS2M_ANN
26.5,32.5,4.3918,5.3359,6.4826,7.3594,7.8072,8.185,7.9704,7.4962,6.7584,5.621,4.6812,4.1107,6.3533,46.84,38.13,28.68,22.3,19.62,19.81,21.41,23.1,27.49,32.75,41.62,48.11,30.8,12.67,15.19,19.34,23.89,28.41,31.11,31.88,31.78,29.44,25.7,19.54,14.59,23.66,2.49,2.7,3.01,3.21,3.42,3.73,3.47,3.54,3.44,2.83,2.58,2.56,3.08
26.5,33.0,4.3999,5.3244,6.461,7.314,7.7885,8.1977,7.9733,7.4738,6.738,5.597,4.679,4.1172,6.342,44.79,36.32,26.89,20.95,18.38,18.37,19.95,21.55,25.57,30.23,39.65,45.74,29.01,13.55,16.03,20.22,24.69,29.18,31.87,32.63,32.58,30.36,26.64,20.4,15.46,24.5,2.57,2.84,3.11,3.28,3.47,3.71,3.4,3.53,3.36,2.75,2.64,2.65,3.11
26.5,33.5,4.3999,5.3244,6.461,7.314,7.7885,8.1977,7.9733,7.4738,6.738,5.597,4.679,4.1172,6.342,49.23,41.73,32.42,25.59,21.47,20.64,22.02,23.43,27.85,35.0,45.97,50.33,32.94,14.36,16.47,20.21,24.32,28.76,31.61,32.8,32.93,30.59,26.74,20.71,16.18,24.68,3.01,3.11,3.24,3.23,3.37,3.59,3.08,3.3,3.35,2.63,2.76,2.98,3.14
26.5,34.0,4.0706,4.9519,6.0185,6.7764,7.277,7.6229,7.3776,6.919,6.1579,5.1302,4.3294,3.8215,5.8742,49.23,41.73,32.42,25.59,21.47,20.64,22.02,23.43,27.85,35.0,45.97,50.33,32.94,14.36,16.47,20.21,24.32,28.76,31.61,32.8,32.93,30.59,26.74,20.71,16.18,24.68,3.01,3.11,3.24,3.23,3.37,3.59,3.08,3.3,3.35,2.63,2.76,2.98,3.14
27.0,25.0,4.2252,5.1182,6.287,7.1822,7.7338,8.1161,8.0952,7.5924,6.7488,5.5841,4.5022,3.9367,6.2647,53.44,44.31,33.57,25.83,22.9,22.64,24.25,25.89,30.1,38.64,48.11,56.73,35.51,11.07,13.06,17.36,22.05,26.56,29.76,30.65,30.81,28.21,23.31,17.16,12.53,21.92,2.56,2.71,2.87,3.04,3.08,3.06,2.93,2.78,2.72,2.49,2.24,2.42,2.74
27.0,25.5,4.2252,5.1182,6.287,7.1822,7.7338,8.1161,8.0952,7.5924,6.7488,5.5841,4.5022,3.9367,6.2647,54.15,45.0,34.5,26.74,23.68,23.62,25.28,26.86,31.43,40.08,49.62,57.85,36.55,10.8,12.77,17.01,21.65,26.15,29.26,30.15,30.36,27.69,22.9,16.83,12.27,21.53,2.49,2.65,2.81,2.97,3.01,3.0,2.86,2.71,2.67,2.47,2.19,2.36,2.68
27.0,26.0,4.2223,5.1254,6.283,7.2046,7.7462,8.1487,8.0966,7.6022,6.7541,5.597,4.4969,3.9216,6.271,54.73,45.32,34.99,27.32,24.21,24.36,26.16,27.75,32.61,41.23,50.62,58.53,37.3,10.59,12.6,16.76,21.32,25.8,28.84,29.72,29.94,27.25,22.57,16.61,12.07,21.21,2.55,2.71,2.85,2.97,3.02,3.04,2.92,2.76,2.73,2.53,2.25,2.43,2.73
27.0,26.5,4.2223,5.1254,6.283,7.2046,7.7462,8.1487,8.0966,7.6022,6.7541,5.597,4.4969,3.9216,6.271,54.73,45.32,34.99,27.32,24.21,24.36,26.16,27.75,32.61,41.23,50.62,58.53,37.3,10.59,12.6,16.76,21.32,25.8,28.84,29.72,29.94,27.25,22.57,16.61,12.07,21.21,2.55,2.71,2.85,2.97,3.02,3.04,2.92,2.76,2.73,2.53,2.25,2.43,2.73
27.0,27.0,4.2214,5.1442,6.379,7.3142,7.8734,8.2574,8.1557,7.6474,6.7982,5.6124,4.5084,3.9334,6.325,53.78,44.41,34.57,27.08,23.92,24.19,25.98,27.58,32.56,40.79,49.92,57.46,36.84,10.99,13.05,17.15,21.71,26.21,29.21,30.11,30.34,27.6,23.0,17.07,12.52,21.62,2.56,2.72,2.87,2.99,3.05,3.1,3.0,2.85,2.83,2.61,2.32,2.47,2.78
27.0,27.5,4.2214,5.1442,6.379,7.3142,7.8734,8.2574,8.1557,7.6474,6.7982,5.6124,4.5084,3.9334,6.325,53.7,44.29,34.7,27.26,23.92,24.25,26.08,27.81,33.08,40.94,49.92,57.17,36.91,11.08,13.15,17.21,21.75,26.28,29.27,30.18,30.39,27.61,23.11,17.22,12.66,21.7,2.6,2.76,2.93,3.04,3.15,3.23,3.14,2.98,2.98,2.78,2.44,2.56,2.88
