latitude,longitude,ALLSKY_SFC_SW_DWN_JAN,ALLSKY_SFC_SW_DWN_FEB,ALLSKY_SFC_SW_DWN_MAR,ALLSKY_SFC_SW_DWN_APR,ALLSKY_SFC_SW_DWN_MAY,ALLSKY_SFC_SW_DWN_JUN,ALLSKY_SFC_SW_DWN_JUL,ALLSKY_SFC_SW_DWN_AUG,ALLSKY_SFC_SW_DWN_SEP,ALLSKY_SFC_SW_DWN_OCT,ALLSKY_SFC_SW_DWN_NOV,ALLSKY_SFC_SW_DWN_DEC,ALLSKY_SFC_SW_DWN_ANN,RH2M_JAN,RH2M_FEB,RH2M_MAR,RH2M_APR,RH2M_MAY,RH2M_JUN,RH2M_JUL,RH2M_AUG,RH2M_SEP,RH2M_OCT,RH2M_NOV,RH2M_DEC,RH2M_ANN,T2M_JAN,T2M_FEB,T2M_MAR,T2M_APR,T2M_MAY,T2M_JUN,T2M_JUL,T2M_AUG,T2M_SEP,T2M_OCT,T2M_NOV,T2M_DEC,T2M_ANN,WS2M_JAN,WS2M_FEB,WS2M_MAR,WS2M_APR,WS2M_MAY,WS2M_JUN,WS2M_JUL,WS2M_AUG,WS2M_SEP,WS2M_OCT,WS2M_NOV,WS2M_DEC,WS2M_ANN
29.5,26.0,3.7776,4.6567,5.9628,7.0056,7.5979,8.1271,8.0414,7.4501,6.5119,5.2411,4.1009,3.5131,6.0041,61.83,55.33,47.66,39.74,35.31,35.0,37.38,40.27,44.36,50.99,57.74,63.24,47.38,11.24,12.72,16.31,20.45,24.9,28.35,29.73,29.83,27.4,23.15,17.58,13.08,21.27,2.94,3.06,3.19,3.25,3.24,3.35,3.36,3.13,3.0,2.72,2.5,2.86,3.05
29.5,26.5,3.7776,4.6567,5.9628,7.0056,7.5979,8.1271,8.0414,7.4501,6.5119,5.2411,4.1009,3.5131,6.0041,61.83,55.33,47.66,39.74,35.31,35.0,37.38,40.27,44.36,50.99,57.74,63.24,47.38,11.24,12.72,16.31,20.45,24.9,28.35,29.73,29.83,27.4,23.15,17.58,13.08,21.27,2.94,3.06,3.19,3.25,3.24,3.35,3.36,3.13,3.0,2.72,2.5,2.86,3.05
29.5,27.0,3.7848,4.6812,5.9537,7.014,7.6682,8.179,8.0971,7.5038,6.5585,5.2726,4.1093,3.5251,6.0343,58.29,52.22,45.73,39.24,35.25,35.02,37.05,39.61,43.27,49.48,55.51,60.28,45.9,12.62,14.14,17.73,21.76,26.17,29.6,30.98,31.14,28.7,24.49,18.98,14.4,22.6,2.74,2.84,2.99,3.09,3.14,3.3,3.34,3.13,2.97,2.67,2.36,2.66,2.94
29.5,27.5,3.7848,4.6812,5.9537,7.014,7.6682,8.179,8.0971,7.5038,6.5585,5.2726,4.1093,3.5251,6.0343,58.68,52.37,46.29,40.11,36.56,36.76,38.82,41.3,44.85,51.03,56.5,60.88,47.0,12.5,14.09,17.71,21.69,26.04,29.36,30.72,30.9,28.49,24.37,18.91,14.29,22.46,2.64,2.82,3.03,3.18,3.24,3.37,3.3,3.15,3.06,2.76,2.34,2.55,2.95
29.5,28.0,3.8239,4.7134,5.9911,7.0486,7.7143,8.2226,8.1492,7.5626,6.6065,5.3095,4.1378,3.5578,6.0754,60.42,54.09,48.21,41.67,38.11,38.97,41.71,44.36,47.99,53.91,58.86,62.68,49.24,11.88,13.46,16.99,20.96,25.26,28.44,29.72,29.87,27.51,23.5,18.21,13.66,21.66,2.8,2.96,3.18,3.34,3.42,3.55,3.46,3.29,3.24,2.94,2.5,2.7,3.11
29.5,28.5,3.8239,4.7134,5.9911,7.0486,7.7143,8.2226,8.1492,7.5626,6.6065,5.3095,4.1378,3.5578,6.0754,62.93,56.66,50.62,43.36,39.62,41.12,44.54,47.38,51.28,56.81,61.59,64.92,51.73,11.22,12.77,16.19,20.22,24.49,27.54,28.77,28.89,26.54,22.66,17.5,13.03,20.85,2.92,3.04,3.26,3.44,3.53,3.66,3.59,3.39,3.38,3.08,2.65,2.84,3.23
29.5,29.0,3.8189,4.7045,6.0326,7.0872,7.7515,8.2682,8.1677,7.5924,6.6118,5.2812,4.1244,3.5518,6.0883,62.93,56.66,50.62,43.36,39.62,41.12,44.54,47.38,51.28,56.81,61.59,64.92,51.73,11.22,12.77,16.19,20.22,24.49,27.54,28.77,28.89,26.54,22.66,17.5,13.03,20.85,2.92,3.04,3.26,3.44,3.53,3.66,3.59,3.39,3.38,3.08,2.65,2.84,3.23
29.5,29.5,3.8189,4.7045,6.0326,7.0872,7.7515,8.2682,8.1677,7.5924,6.6118,5.2812,4.1244,3.5518,6.0883,63.29,57.0,51.57,44.2,40.17,42.03,45.87,48.7,52.6,57.69,61.87,65.02,52.5,11.02,12.59,15.86,19.87,24.14,27.09,28.29,28.38,26.08,22.33,17.31,12.87,20.52,3.02,3.09,3.33,3.53,3.65,3.85,3.8,3.59,3.62,3.3,2.84,2.97,3.38
29.5,30.0,3.7855,4.6687,5.9858,7.0176,7.6944,8.189,8.0546,7.4899,6.5443,5.238,4.0908,3.5177,6.0286,63.2,56.84,51.08,44.03,39.48,40.96,44.91,47.58,51.8,56.94,61.16,64.71,51.88,10.99,12.6,15.92,19.9,24.28,27.26,28.43,28.46,26.16,22.42,17.4,12.88,20.59,2.78,2.82,3.13,3.42,3.62,3.89,3.8,3.55,3.57,3.26,2.81,2.8,3.29
29.5,30.5,3.7855,4.6687,5.9858,7.0176,7.6944,8.189,8.0546,7.4899,6.5443,5.238,4.0908,3.5177,6.0286,60.56,54.27,48.08,41.36,36.81,37.29,40.46,42.8,47.34,52.9,57.56,61.63,48.41,12.08,13.86,17.37,21.38,25.86,28.92,30.14,30.16,27.79,23.99,18.8,14.04,22.07,2.51,2.59,3.03,3.4,3.65,3.93,3.75,3.55,3.59,3.3,2.75,2.57,3.22
29.5,31.0,3.7673,4.6529,6.0185,7.0754,7.7621,8.2956,8.1326,7.5684,6.6103,5.2894,4.1419,3.5525,6.078,58.96,52.34,45.26,38.91,34.51,34.89,37.57,40.11,45.45,51.69,55.54,59.71,46.23,12.04,13.99,17.62,21.58,26.01,29.0,30.26,30.21,27.77,23.95,18.79,13.99,22.14,2.49,2.61,3.14,3.45,3.68,3.86,3.58,3.46,3.61,3.31,2.71,2.54,3.21
29.5,31.5,3.7673,4.6529,6.0185,7.0754,7.7621,8.2956,8.1326,7.5684,6.6103,5.2894,4.1419,3.5525,6.078,58.96,52.34,45.26,38.91,34.51,34.89,37.57,40.11,45.45,51.69,55.54,59.71,46.23,12.04,13.99,17.62,21.58,26.01,29.0,30.26,30.21,27.77,23.95,18.79,13.99,22.14,2.49,2.61,3.14,3.45,3.68,3.86,3.58,3.46,3.61,3.31,2.71,2.54,3.21
29.5,32.0,3.8357,4.7791,6.1066,7.1688,7.8326,8.3414,8.1643,7.5982,6.6295,5.3462,4.2098,3.6007,6.1397,62.78,55.65,48.85,42.32,37.49,37.9,39.28,43.22,50.94,57.63,60.47,63.53,49.99,9.9,11.81,15.18,18.93,23.25,26.17,27.66,27.49,24.91,21.29,16.33,11.82,19.6,2.71,2.79,3.13,3.24,3.36,3.44,3.09,2.98,3.24,3.0,2.59,2.71,3.03
29.5,33.0,3.8251,4.7686,6.1438,7.2439,7.919,8.5342,8.3393,7.7477,6.7279,5.3844,4.2552,3.6024,6.2131,60.07,52.93,46.47,39.61,35.49,36.55,38.14,42.35,49.95,54.03,54.72,58.73,47.4,10.68,12.49,15.76,19.57,23.82,26.43,27.85,27.68,25.44,22.2,17.2,12.62,20.18,2.83,2.96,3.58,3.7,3.86,4.11,3.65,3.77,4.24,3.83,3.2,2.94,3.56
