latitude,longitude,ALLSKY_SFC_SW_DWN_ANN,RH2M_ANN,T2M_ANN,WS2M_ANN
25.0,25.0,6.4572,30.42,22.01,2.91
25.0,25.5,6.4572,32.05,21.27,2.71
25.0,26.0,6.4992,33.32,20.69,2.69
25.0,26.5,6.4992,33.32,20.69,2.69
25.0,27.0,6.4922,33.49,20.71,2.87
25.0,27.5,6.4922,32.42,21.49,3.08
25.0,28.0,6.4918,31.4,22.22,3.2
25.0,28.5,6.4918,30.75,22.66,3.21
25.0,29.0,6.493,30.75,22.66,3.21
25.0,29.5,6.493,29.79,23.26,3.25
25.0,30.0,6.4915,28.73,24.01,3.47
25.0,30.5,6.4915,28.75,24.25,3.28
25.0,31.0,6.5398,30.19,22.77,3.43
25.0,31.5,6.5398,30.19,22.77,3.43
25.0,32.0,6.4351,29.92,22.67,3.42
25.0,32.5,6.4351,27.81,24.5,3.26
25.0,33.0,6.433,26.5,25.89,3.19
25.0,33.5,6.433,26.95,26.0,3.25
25.0,34.0,6.2179,26.95,26.0,3.25
25.0,34.5,6.2179,32.16,24.86,3.25
25.5,25.0,6.4572,31.72,21.96,2.83
25.5,25.5,6.4572,33.47,21.16,2.64
25.5,26.0,6.4992,34.09,20.93,2.68
25.5,26.5,6.4992,34.09,20.93,2.68
25.5,27.0,6.4922,33.9,21.13,2.81
25.5,27.5,6.4922,33.22,21.6,2.98
25.5,28.0,6.4918,31.9,22.54,3.04
25.5,28.5,6.4918,31.39,22.88,3.12
25.5,29.0,6.493,31.39,22.88,3.12
25.5,29.5,6.493,32.18,22.3,3.34
25.5,30.0,6.4915,32.04,22.33,3.64
25.5,30.5,6.4915,30.73,23.46,3.42
25.5,31.0,6.5398,32.77,21.84,3.33
25.5,31.5,6.5398,32.77,21.84,3.33
25.5,32.0,6.4351,31.38,22.44,3.2
25.5,32.5,6.4351,28.71,24.33,2.97
25.5,33.0,6.433,28.21,24.81,2.93
25.5,33.5,6.433,28.26,25.19,3.17
25.5,34.0,6.2179,28.26,25.19,3.17
25.5,34.5,6.2179,35.82,24.9,3.36
26.0,25.0,6.4046,32.92,21.97,2.72
26.0,25.5,6.4046,34.46,21.26,2.61
26.0,26.0,6.4366,34.79,21.2,2.66
26.0,26.5,6.4366,34.79,21.2,2.66
26.0,27.0,6.426,34.38,21.48,2.85
26.0,27.5,6.426,33.76,21.95,2.93
26.0,28.0,6.4327,33.28,22.3,3.09
26.0,28.5,6.4327,34.16,21.94,3.03
26.0,29.0,6.426,34.16,21.94,3.03
26.0,29.5,6.426,34.68,21.62,3.08
26.0,30.0,6.4402,34.89,21.51,3.31
26.0,30.5,6.4402,34.16,22.0,3.32
26.0,31.0,6.3998,34.08,21.75,3.15
26.0,31.5,6.3998,34.08,21.75,3.15
26.0,32.0,6.3533,30.98,23.36,2.98
26.0,32.5,6.3533,29.03,24.69,2.8
26.0,33.0,6.342,27.4,25.65,2.86
26.0,33.5,6.342,29.78,24.82,2.97
26.0,34.0,5.8742,29.78,24.82,2.97
26.5,25.0,6.4046,34.46,21.86,2.66
26.5,25.5,6.4046,35.35,21.47,2.61
26.5,26.0,6.4366,35.78,21.33,2.7
26.5,26.5,6.4366,35.78,21.33,2.7
26.5,27.0,6.426,35.74,21.44,2.82
26.5,27.5,6.426,35.25,21.84,2.88
26.5,28.0,6.4327,34.97,22.1,2.94
26.5,28.5,6.4327,35.31,22.04,2.94
26.5,29.0,6.426,35.31,22.04,2.94
26.5,29.5,6.426,36.0,21.59,3.13
