latitude,longitude,ALLSKY_SFC_SW_DWN_JAN,ALLSKY_SFC_SW_DWN_FEB,ALLSKY_SFC_SW_DWN_MAR,ALLSKY_SFC_SW_DWN_APR,ALLSKY_SFC_SW_DWN_MAY,ALLSKY_SFC_SW_DWN_JUN,ALLSKY_SFC_SW_DWN_JUL,ALLSKY_SFC_SW_DWN_AUG,ALLSKY_SFC_SW_DWN_SEP,ALLSKY_SFC_SW_DWN_OCT,ALLSKY_SFC_SW_DWN_NOV,ALLSKY_SFC_SW_DWN_DEC,ALLSKY_SFC_SW_DWN_ANN,RH2M_JAN,RH2M_FEB,RH2M_MAR,RH2M_APR,RH2M_MAY,RH2M_JUN,RH2M_JUL,RH2M_AUG,RH2M_SEP,RH2M_OCT,RH2M_NOV,RH2M_DEC,RH2M_ANN,T2M_JAN,T2M_FEB,T2M_MAR,T2M_APR,T2M_MAY,T2M_JUN,T2M_JUL,T2M_AUG,T2M_SEP,T2M_OCT,T2M_NOV,T2M_DEC,T2M_ANN,WS2M_JAN,WS2M_FEB,WS2M_MAR,WS2M_APR,WS2M_MAY,WS2M_JUN,WS2M_JUL,WS2M_AUG,WS2M_SEP,WS2M_OCT,WS2M_NOV,WS2M_DEC,WS2M_ANN
31.0,27.0,2.8949,3.7145,5.046,6.1848,6.9168,7.3951,7.3346,6.7841,5.7797,4.3961,3.2268,2.6472,5.1996,68.71,65.89,62.74,57.95,54.13,55.09,57.78,59.88,60.5,64.02,67.73,69.74,62.0,10.9,11.78,14.35,17.58,21.58,24.8,26.46,26.74,24.92,21.44,16.77,12.81,19.21,3.56,3.64,3.55,3.51,3.41,3.57,3.77,3.42,3.26,2.93,2.77,3.37,3.4
31.0,27.5,2.8949,3.7145,5.046,6.1848,6.9168,7.3951,7.3346,6.7841,5.7797,4.3961,3.2268,2.6472,5.1996,67.94,66.44,64.96,61.41,58.83,59.32,60.62,61.74,62.15,64.9,67.01,68.4,63.64,12.35,12.93,15.07,17.87,21.52,24.78,26.66,27.1,25.43,22.29,18.11,14.33,19.9,4.04,4.05,3.89,3.76,3.59,3.76,4.05,3.7,3.56,3.28,3.18,3.83,3.72
31.0,28.0,2.9297,3.7853,5.1602,6.3336,7.1074,7.6015,7.4726,6.8129,5.881,4.537,3.2923,2.676,5.3052,67.64,67.13,66.9,64.89,63.57,64.62,65.37,65.38,64.64,66.08,66.59,67.59,65.87,13.53,13.89,15.69,18.13,21.52,24.69,26.66,27.25,25.8,23.0,19.23,15.58,20.45,4.1,4.07,3.85,3.68,3.47,3.57,3.87,3.58,3.55,3.35,3.29,3.9,3.69
31.0,28.5,2.9297,3.7853,5.1602,6.3336,7.1074,7.6015,7.4726,6.8129,5.881,4.537,3.2923,2.676,5.3052,69.22,69.07,69.76,68.91,69.2,70.63,71.15,70.37,68.49,69.06,68.44,69.28,69.47,14.42,14.6,16.01,18.09,21.15,24.27,26.33,27.08,25.9,23.41,20.01,16.48,20.68,4.45,4.35,4.09,3.93,3.74,3.84,4.1,3.82,3.82,3.68,3.69,4.28,3.98
31.0,30.0,3.017,3.8494,5.2452,6.383,7.2348,7.7892,7.6846,7.0118,6.0036,4.5972,3.3967,2.742,5.4194,67.71,65.54,63.22,59.87,58.07,59.66,62.02,62.62,61.91,63.84,65.33,67.51,63.11,13.89,14.55,16.67,19.45,23.08,26.15,27.79,28.22,26.68,23.79,19.94,15.99,21.38,3.3,3.28,3.32,3.38,3.35,3.42,3.44,3.19,3.17,3.03,2.94,3.22,3.25
31.0,30.5,3.017,3.8494,5.2452,6.383,7.2348,7.7892,7.6846,7.0118,6.0036,4.5972,3.3967,2.742,5.4194,67.06,64.17,59.77,54.65,51.04,51.39,54.43,56.1,56.99,60.19,62.85,66.32,58.73,13.25,14.26,16.99,20.35,24.5,27.74,29.16,29.28,27.39,24.13,19.85,15.42,21.9,2.71,2.76,2.96,3.16,3.25,3.31,3.18,2.93,2.87,2.72,2.57,2.67,2.92
31.0,31.0,3.0358,3.8203,5.149,6.2642,7.1299,7.7054,7.5432,6.8916,5.8726,4.5,3.3468,2.7581,5.3412,65.73,62.94,58.5,53.86,49.77,49.83,52.25,54.4,56.3,59.81,62.18,65.1,57.54,13.17,14.31,17.15,20.52,24.83,28.05,29.59,29.62,27.53,24.23,19.87,15.34,22.05,2.45,2.49,2.69,2.88,3.02,3.02,2.81,2.58,2.55,2.46,2.36,2.42,2.65
31.0,31.5,3.0358,3.8203,5.149,6.2642,7.1299,7.7054,7.5432,6.8916,5.8726,4.5,3.3468,2.7581,5.3412,65.73,62.94,58.5,53.86,49.77,49.83,52.25,54.4,56.3,59.81,62.18,65.1,57.54,13.17,14.31,17.15,20.52,24.83,28.05,29.59,29.62,27.53,24.23,19.87,15.34,22.05,2.45,2.49,2.69,2.88,3.02,3.02,2.81,2.58,2.55,2.46,2.36,2.42,2.65
31.0,32.0,3.067,3.8568,5.1658,6.3024,7.1491,7.6843,7.4618,6.8892,5.9119,4.5588,3.3806,2.7888,5.3575,64.71,62.9,58.81,54.75,51.01,50.27,51.34,53.45,56.22,59.76,61.72,64.32,57.42,13.56,14.62,17.37,20.54,24.69,27.92,29.68,29.77,27.65,24.54,20.25,15.71,22.23,2.91,2.93,3.14,3.27,3.32,3.27,3.07,2.89,2.9,2.81,2.7,2.81,3.0
31.0,32.5,3.067,3.8568,5.1658,6.3024,7.1491,7.6843,7.4618,6.8892,5.9119,4.5588,3.3806,2.7888,5.3575,66.79,66.31,64.21,61.3,59.63,59.86,59.75,60.81,62.61,64.69,64.93,66.54,63.11,13.72,14.52,16.83,19.55,23.13,26.16,28.2,28.54,26.78,24.1,20.12,15.82,21.49,3.33,3.28,3.38,3.35,3.19,3.06,2.93,2.87,2.98,2.98,2.94,3.19,3.12
31.0,33.0,3.0209,3.8798,5.2198,6.3149,7.1885,7.7748,7.4964,6.929,5.917,4.5602,3.3768,2.771,5.3767,66.78,67.27,67.05,65.47,64.58,65.95,66.64,67.52,68.17,68.45,66.18,66.16,66.69,13.67,14.28,16.21,18.62,21.96,24.79,26.74,27.21,25.84,23.52,19.78,15.76,20.73,3.66,3.58,3.51,3.36,3.11,3.0,2.96,2.9,3.03,3.08,3.11,3.47,3.23
31.0,33.5,3.0209,3.8798,5.2198,6.3149,7.1885,7.7748,7.4964,6.929,5.917,4.5602,3.3768,2.771,5.3767,66.4,66.26,65.75,63.69,62.47,63.85,64.0,65.25,66.19,66.86,64.32,64.83,64.99,13.15,13.98,16.15,18.75,22.2,25.03,27.06,27.47,26.03,23.63,19.49,15.21,20.71,3.16,3.12,3.09,3.02,2.92,2.89,2.84,2.8,2.91,2.82,2.71,2.94,2.93
31.0,34.0,3.0758,3.9307,5.2951,6.39,7.285,7.9102,7.6954,7.0061,5.9906,4.638,3.4673,2.88,5.4701,66.4,66.26,65.75,63.69,62.47,63.85,64.0,65.25,66.19,66.86,64.32,64.83,64.99,13.15,13.98,16.15,18.75,22.2,25.03,27.06,27.47,26.03,23.63,19.49,15.21,20.71,3.16,3.12,3.09,3.02,2.92,2.89,2.84,2.8,2.91,2.82,2.71,2.94,2.93
31.5,25.5,3.0787,3.8882,5.2526,6.4582,7.2053,7.9058,7.902,7.291,6.114,4.6471,3.4651,2.8171,5.509,69.72,68.45,66.89,64.29,63.2,64.7,66.57,66.04,63.47,64.5,66.32,69.45,66.13,13.22,13.6,15.5,18.05,21.42,24.5,26.52,27.13,25.88,22.97,18.91,15.2,20.28,4.27,4.21,3.86,3.68,3.38,3.46,3.78,3.51,3.43,3.2,3.29,4.09,3.68
31.5,26.0,3.0038,3.811,5.2109,6.4337,7.1503,7.782,7.7126,7.1242,6.0461,4.5859,3.3365,2.706,5.4151,69.69,68.95,68.24,66.19,65.59,67.29,68.48,67.81,65.73,66.5,67.66,69.55,67.64,13.61,13.86,15.48,17.81,21.03,24.11,26.19,26.84,25.6,22.86,19.08,15.58,20.2,4.68,4.62,4.22,3.96,3.62,3.68,4.03,3.75,3.65,3.44,3.57,4.45,3.97
31.5,26.5,3.0038,3.811,5.2109,6.4337,7.1503,7.782,7.7126,7.1242,6.0461,4.5859,3.3365,2.706,5.4151,69.69,68.95,68.24,66.19,65.59,67.29,68.48,67.81,65.73,66.5,67.66,69.55,67.64,13.61,13.86,15.48,17.81,21.03,24.11,26.19,26.84,25.6,22.86,19.08,15.58,20.2,4.68,4.62,4.22,3.96,3.62,3.68,4.03,3.75,3.65,3.44,3.57,4.45,3.97
