latitude,longitude,ALLSKY_SFC_SW_DWN_JAN,ALLSKY_SFC_SW_DWN_FEB,ALLSKY_SFC_SW_DWN_MAR,ALLSKY_SFC_SW_DWN_APR,ALLSKY_SFC_SW_DWN_MAY,ALLSKY_SFC_SW_DWN_JUN,ALLSKY_SFC_SW_DWN_JUL,ALLSKY_SFC_SW_DWN_AUG,ALLSKY_SFC_SW_DWN_SEP,ALLSKY_SFC_SW_DWN_OCT,ALLSKY_SFC_SW_DWN_NOV,ALLSKY_SFC_SW_DWN_DEC,ALLSKY_SFC_SW_DWN_ANN,RH2M_JAN,RH2M_FEB,RH2M_MAR,RH2M_APR,RH2M_MAY,RH2M_JUN,RH2M_JUL,RH2M_AUG,RH2M_SEP,RH2M_OCT,RH2M_NOV,RH2M_DEC,RH2M_ANN,T2M_JAN,T2M_FEB,T2M_MAR,T2M_APR,T2M_MAY,T2M_JUN,T2M_JUL,T2M_AUG,T2M_SEP,T2M_OCT,T2M_NOV,T2M_DEC,T2M_ANN,WS2M_JAN,WS2M_FEB,WS2M_MAR,WS2M_APR,WS2M_MAY,WS2M_JUN,WS2M_JUL,WS2M_AUG,WS2M_SEP,WS2M_OCT,WS2M_NOV,WS2M_DEC,WS2M_ANN
25.5,27.0,4.5679,5.4804,6.5554,7.4328,7.9152,8.2183,8.1077,7.6867,6.9442,5.8534,4.8329,4.2694,6.4922,50.81,40.52,30.45,23.52,21.28,21.54,23.54,25.29,29.72,37.78,47.34,55.2,33.9,10.42,12.81,17.01,21.76,26.05,28.82,29.46,29.65,26.88,22.22,16.29,11.77,21.13,2.55,2.72,2.89,2.98,3.04,3.15,3.08,2.95,2.93,2.68,2.32,2.45,2.81
25.5,27.5,4.5679,5.4804,6.5554,7.4328,7.9152,8.2183,8.1077,7.6867,6.9442,5.8534,4.8329,4.2694,6.4922,49.77,39.61,29.88,23.15,20.84,21.16,23.03,24.77,29.33,37.0,46.37,53.92,33.22,10.88,13.28,17.43,22.14,26.48,29.27,29.98,30.17,27.32,22.73,16.81,12.29,21.6,2.64,2.8,3.0,3.08,3.17,3.36,3.32,3.21,3.17,2.92,2.52,2.6,2.98
25.5,28.0,4.5626,5.4739,6.5945,7.4477,7.9193,8.2231,8.082,7.6582,6.9394,5.8406,4.8382,4.2799,6.4918,48.03,38.11,28.73,22.27,19.95,20.3,22.02,23.77,28.22,35.28,44.44,51.79,31.9,11.71,14.14,18.29,23.03,27.44,30.24,31.01,31.17,28.27,23.76,17.78,13.18,22.54,2.57,2.73,2.99,3.1,3.25,3.49,3.45,3.35,3.32,3.05,2.6,2.6,3.04
25.5,28.5,4.5626,5.4739,6.5945,7.4477,7.9193,8.2231,8.082,7.6582,6.9394,5.8406,4.8382,4.2799,6.4918,47.53,37.38,28.16,21.86,19.58,20.07,21.72,23.42,27.97,34.56,43.69,50.9,31.39,11.99,14.5,18.67,23.42,27.83,30.54,31.31,31.47,28.54,24.19,18.16,13.49,22.88,2.5,2.7,3.03,3.19,3.39,3.66,3.54,3.47,3.5,3.18,2.67,2.58,3.12
25.5,29.0,4.5811,5.5006,6.6204,7.4621,7.9152,8.2313,8.0686,7.6306,6.9113,5.8109,4.8461,4.2967,6.493,47.53,37.38,28.16,21.86,19.58,20.07,21.72,23.42,27.97,34.56,43.69,50.9,31.39,11.99,14.5,18.67,23.42,27.83,30.54,31.31,31.47,28.54,24.19,18.16,13.49,22.88,2.5,2.7,3.03,3.19,3.39,3.66,3.54,3.47,3.5,3.18,2.67,2.58,3.12
25.5,29.5,4.5811,5.5006,6.6204,7.4621,7.9152,8.2313,8.0686,7.6306,6.9113,5.8109,4.8461,4.2967,6.493,48.45,38.11,28.84,22.41,20.16,20.83,22.59,24.3,29.08,35.35,44.58,51.52,32.18,11.56,14.06,18.16,22.86,27.2,29.77,30.46,30.61,27.83,23.7,17.76,13.13,22.3,2.69,2.9,3.25,3.41,3.61,3.88,3.66,3.63,3.79,3.44,2.95,2.82,3.34
25.5,30.0,4.5881,5.5193,6.6242,7.4791,7.9159,8.219,8.0494,7.6181,6.8978,5.8006,4.8497,4.2982,6.4915,47.92,37.83,28.67,22.46,20.29,21.0,22.59,24.31,29.25,35.25,44.1,50.91,32.04,11.69,14.14,18.2,22.8,27.13,29.68,30.5,30.57,27.82,23.79,17.91,13.28,22.33,2.98,3.14,3.5,3.63,3.83,4.18,3.95,3.95,4.18,3.8,3.31,3.16,3.64
25.5,30.5,4.5881,5.5193,6.6242,7.4791,7.9159,8.219,8.0494,7.6181,6.8978,5.8006,4.8497,4.2982,6.4915,46.37,36.41,27.36,21.25,19.24,20.05,21.83,23.4,27.89,33.46,42.33,49.24,30.73,12.58,15.16,19.32,24.03,28.39,30.92,31.7,31.74,29.0,25.03,18.95,14.2,23.46,2.67,2.86,3.25,3.43,3.63,4.01,3.76,3.81,4.03,3.61,3.07,2.84,3.42
25.5,31.0,4.6409,5.581,6.6871,7.5408,7.9668,8.2903,8.0969,7.6339,6.93,5.8246,4.8986,4.3498,6.5398,49.5,39.01,29.17,22.68,20.51,21.42,23.68,25.28,29.61,35.26,45.0,52.24,32.77,11.11,13.69,17.8,22.45,26.74,29.15,29.78,29.84,27.3,23.54,17.47,12.77,21.84,2.74,2.93,3.24,3.36,3.51,3.86,3.63,3.71,3.84,3.32,2.94,2.84,3.33
25.5,31.5,4.6409,5.581,6.6871,7.5408,7.9668,8.2903,8.0969,7.6339,6.93,5.8246,4.8986,4.3498,6.5398,49.5,39.01,29.17,22.68,20.51,21.42,23.68,25.28,29.61,35.26,45.0,52.24,32.77,11.11,13.69,17.8,22.45,26.74,29.15,29.78,29.84,27.3,23.54,17.47,12.77,21.84,2.74,2.93,3.24,3.36,3.51,3.86,3.63,3.71,3.84,3.32,2.94,2.84,3.33
25.5,32.0,4.5622,5.4816,6.5837,7.4323,7.8456,8.1739,7.961,7.5041,6.8182,5.7266,4.8132,4.2826,6.4351,47.93,37.89,28.02,21.8,19.56,20.24,22.47,24.04,27.91,33.37,43.17,50.3,31.38,11.64,14.23,18.38,23.01,27.34,29.8,30.42,30.43,27.95,24.26,18.11,13.31,22.44,2.66,2.84,3.14,3.24,3.37,3.75,3.62,3.7,3.66,3.02,2.74,2.69,3.2
25.5,32.5,4.5622,5.4816,6.5837,7.4323,7.8456,8.1739,7.961,7.5041,6.8182,5.7266,4.8132,4.2826,6.4351,44.85,35.78,25.9,20.04,17.66,17.89,19.86,21.33,24.77,30.17,39.86,46.6,28.71,13.26,15.9,20.15,24.82,29.3,31.86,32.5,32.46,30.02,26.29,19.95,15.0,24.33,2.44,2.62,2.92,3.07,3.21,3.54,3.43,3.47,3.33,2.68,2.44,2.44,2.97
25.5,33.0,4.5732,5.4835,6.5779,7.398,7.8394,8.1919,7.9706,7.4873,6.8083,5.719,4.8276,4.2821,6.433,45.12,36.1,25.84,19.81,17.16,16.98,18.92,20.22,23.54,29.08,39.84,46.19,28.21,13.76,16.41,20.59,25.21,29.71,32.21,32.87,32.86,30.53,26.93,20.55,15.6,24.81,2.44,2.69,2.9,3.06,3.18,3.44,3.34,3.45,3.24,2.56,2.42,2.44,2.93
25.5,33.5,4.5732,5.4835,6.5779,7.398,7.8394,8.1919,7.9706,7.4873,6.8083,5.719,4.8276,4.2821,6.433,45.7,36.71,26.47,20.22,17.15,16.26,18.1,19.03,22.21,29.37,41.48,46.76,28.26,14.33,16.81,20.89,25.35,29.77,32.4,33.16,33.33,31.13,27.4,21.01,16.21,25.19,2.94,3.17,3.25,3.32,3.41,3.54,3.33,3.46,3.22,2.74,2.79,2.94,3.17
25.5,34.0,4.3306,5.2598,6.3674,7.1194,7.6066,7.9886,7.7652,7.2797,6.6077,5.5277,4.6428,4.0829,6.2179,45.7,36.71,26.47,20.22,17.15,16.26,18.1,19.03,22.21,29.37,41.48,46.76,28.26,14.33,16.81,20.89,25.35,29.77,32.4,33.16,33.33,31.13,27.4,21.01,16.21,25.19,2.94,3.17,3.25,3.32,3.41,3.54,3.33,3.46,3.22,2.74,2.79,2.94,3.17
