latitude,longitude,ALLSKY_SFC_SW_DWN_JAN,ALLSKY_SFC_SW_DWN_FEB,ALLSKY_SFC_SW_DWN_MAR,ALLSKY_SFC_SW_DWN_APR,ALLSKY_SFC_SW_DWN_MAY,ALLSKY_SFC_SW_DWN_JUN,ALLSKY_SFC_SW_DWN_JUL,ALLSKY_SFC_SW_DWN_AUG,ALLSKY_SFC_SW_DWN_SEP,ALLSKY_SFC_SW_DWN_OCT,ALLSKY_SFC_SW_DWN_NOV,ALLSKY_SFC_SW_DWN_DEC,ALLSKY_SFC_SW_DWN_ANN,RH2M_JAN,RH2M_FEB,RH2M_MAR,RH2M_APR,RH2M_MAY,RH2M_JUN,RH2M_JUL,RH2M_AUG,RH2M_SEP,RH2M_OCT,RH2M_NOV,RH2M_DEC,RH2M_ANN,T2M_JAN,T2M_FEB,T2M_MAR,T2M_APR,T2M_MAY,T2M_JUN,T2M_JUL,T2M_AUG,T2M_SEP,T2M_OCT,T2M_NOV,T2M_DEC,T2M_ANN,WS2M_JAN,WS2M_FEB,WS2M_MAR,WS2M_APR,WS2M_MAY,WS2M_JUN,WS2M_JUL,WS2M_AUG,WS2M_SEP,WS2M_OCT,WS2M_NOV,WS2M_DEC,WS2M_ANN
24.0,33.0,4.6973,5.5721,6.6662,7.4131,7.8036,8.0729,7.8631,7.3865,6.7469,5.7686,4.9231,4.4006,6.4457,41.74,32.81,23.25,17.52,15.25,14.84,16.91,18.1,20.44,26.14,36.78,43.51,25.59,15.07,17.79,21.96,26.71,31.05,33.39,34.01,34.21,31.92,28.44,21.76,16.79,26.13,2.67,2.87,3.09,3.19,3.31,3.62,3.45,3.65,3.53,2.91,2.69,2.67,3.14
24.0,33.5,4.6973,5.5721,6.6662,7.4131,7.8036,8.0729,7.8631,7.3865,6.7469,5.7686,4.9231,4.4006,6.4457,44.15,35.09,25.06,18.71,15.66,14.53,16.64,17.48,19.9,27.38,39.35,45.26,26.58,15.52,18.1,22.16,26.76,31.12,33.47,34.03,34.36,32.28,28.85,22.27,17.35,26.39,2.64,2.85,3.01,3.04,3.13,3.46,3.39,3.57,3.3,2.63,2.52,2.58,3.01
24.0,34.0,4.6349,5.5154,6.643,7.3762,7.7669,8.07,7.8425,7.3615,6.7284,5.7293,4.8816,4.3591,6.4118,44.15,35.09,25.06,18.71,15.66,14.53,16.64,17.48,19.9,27.38,39.35,45.26,26.58,15.52,18.1,22.16,26.76,31.12,33.47,34.03,34.36,32.28,28.85,22.27,17.35,26.39,2.64,2.85,3.01,3.04,3.13,3.46,3.39,3.57,3.3,2.63,2.52,2.58,3.01
24.0,34.5,4.6349,5.5154,6.643,7.3762,7.7669,8.07,7.8425,7.3615,6.7284,5.7293,4.8816,4.3591,6.4118,46.5,37.05,26.89,19.94,16.23,14.55,16.37,17.11,19.9,28.95,42.5,47.58,27.77,15.93,18.44,22.32,26.77,31.13,33.56,34.21,34.69,32.74,29.07,22.63,17.84,26.65,2.85,3.03,3.14,3.13,3.21,3.54,3.39,3.49,3.26,2.67,2.62,2.78,3.09
24.0,35.0,4.2089,5.009,6.0578,6.792,7.1357,7.4702,7.2396,6.773,6.1546,5.2188,4.4215,3.9662,5.8735,54.35,46.32,36.03,27.21,21.14,18.36,20.09,21.83,26.53,39.46,53.49,55.85,35.01,15.98,18.07,21.43,25.49,29.71,32.33,33.49,33.69,31.5,27.63,22.08,17.83,25.8,3.02,3.08,3.21,3.14,3.27,3.54,3.03,3.26,3.38,2.69,2.63,2.93,3.1
24.5,25.0,4.7472,5.6306,6.685,7.4479,7.843,8.1178,8.0731,7.6694,7.0135,5.9748,5.0042,4.4395,6.557,43.95,34.32,25.44,19.69,18.44,18.64,20.92,22.46,25.54,32.48,40.1,47.69,29.14,11.27,13.93,18.27,23.27,27.3,29.76,30.05,30.17,27.68,23.04,17.14,12.56,22.07,2.68,2.86,3.19,3.37,3.48,3.47,3.24,3.1,3.31,3.16,2.69,2.69,3.1
24.5,25.5,4.7472,5.6306,6.685,7.4479,7.843,8.1178,8.0731,7.6694,7.0135,5.9748,5.0042,4.4395,6.557,46.59,36.42,27.2,20.97,19.59,19.96,22.18,23.71,27.52,35.11,43.69,51.15,31.17,10.46,13.11,17.31,22.23,26.22,28.64,29.05,29.26,26.51,21.87,16.02,11.62,21.06,2.45,2.63,2.86,2.99,3.05,3.07,2.88,2.74,2.85,2.66,2.29,2.38,2.74
24.5,26.0,4.8026,5.7115,6.7296,7.5295,7.9536,8.25,8.1773,7.7777,7.0711,6.0535,5.0671,4.5139,6.6396,49.18,38.35,28.65,22.0,20.37,20.84,23.17,24.72,28.82,36.66,46.09,53.85,32.72,9.71,12.35,16.56,21.45,25.49,27.92,28.32,28.58,25.84,21.25,15.35,10.93,20.34,2.44,2.62,2.79,2.89,2.94,3.01,2.9,2.78,2.81,2.58,2.21,2.32,2.69
24.5,26.5,4.8026,5.7115,6.7296,7.5295,7.9536,8.25,8.1773,7.7777,7.0711,6.0535,5.0671,4.5139,6.6396,49.18,38.35,28.65,22.0,20.37,20.84,23.17,24.72,28.82,36.66,46.09,53.85,32.72,9.71,12.35,16.56,21.45,25.49,27.92,28.32,28.58,25.84,21.25,15.35,10.93,20.34,2.44,2.62,2.79,2.89,2.94,3.01,2.9,2.78,2.81,2.58,2.21,2.32,2.69
24.5,27.0,4.7606,5.6755,6.6725,7.4638,7.8953,8.195,8.1329,7.7278,7.0164,5.9772,4.9978,4.4621,6.5846,49.42,38.56,28.78,22.12,20.34,20.79,22.99,24.59,28.82,36.55,46.24,53.97,32.76,9.81,12.4,16.59,21.43,25.54,28.06,28.54,28.8,26.0,21.44,15.55,11.1,20.47,2.68,2.84,3.01,3.1,3.17,3.35,3.29,3.17,3.19,2.95,2.52,2.61,2.99
